iter	Passed	Remaining
856	2197	366
857	2199	364
858	2202	361
859	2205	358
860	2207	356
861	2209	353
862	2212	351
863	2214	348
864	2217	346
865	2219	343
866	2222	340
867	2224	338
868	2226	335
869	2229	333
870	2231	330
871	2234	327
872	2239	325
873	2242	323
874	2245	320
875	2247	318
876	2249	315
877	2252	312
878	2254	310
879	2258	307
880	2260	305
881	2262	302
882	2264	300
883	2267	297
884	2269	294
885	2272	292
886	2275	289
887	2277	287
888	2279	284
889	2282	282
890	2284	279
891	2289	277
892	2291	274
893	2293	271
894	2295	269
895	2298	266
896	2300	264
897	2302	261
898	2304	258
899	2306	256
900	2309	253
901	2311	251
902	2313	248
903	2315	245
904	2318	243
905	2320	240
906	2322	238
907	2325	235
908	2328	233
909	2329	230
910	2331	227
911	2333	225
912	2336	222
913	2338	220
914	2341	217
915	2343	214
916	2345	212
917	2347	209
918	2351	207
919	2353	204
920	2355	202
921	2357	199
922	2359	196
923	2361	194
924	2363	191
925	2365	189
926	2367	186
927	2369	183
928	2371	181
929	2374	178
930	2376	176
931	2379	173
932	2381	171
933	2383	168
934	2385	165
935	2387	163
936	2389	160
937	2392	158
938	2394	155
939	2396	152
940	2398	150
941	2400	147
942	2402	145
943	2404	142
944	2406	140
945	2408	137
946	2410	134
947	2412	132
948	2413	129
949	2415	127
950	2418	124
951	2420	122
952	2422	119
953	2424	116
954	2426	114
955	2428	111
956	2430	109
957	2432	106
958	2434	104
959	2436	101
960	2438	98
961	2440	96
962	2442	93
963	2444	91
964	2446	88
965	2449	86
966	2451	83
967	2453	81
968	2455	78
969	2457	76
970	2460	73
971	2462	70
972	2464	68
973	2467	65
974	2470	63
975	2471	60
976	2473	58
977	2475	55
978	2479	53
979	2481	50
980	2483	48
981	2485	45
982	2487	43
983	2489	40
984	2491	37
985	2493	35
986	2495	32
987	2497	30
988	2499	27
989	2501	25
990	2503	22
991	2506	20
992	2508	17
993	2511	15
994	2513	12
995	2515	10
996	2517	7
997	2518	5
998	2521	2
999	2523	0
	0
