iter	Passed	Remaining
562	2610	2026
563	2614	2020
564	2616	2014
565	2621	2010
566	2625	2005
567	2628	1998
568	2631	1992
569	2634	1987
570	2639	1982
571	2642	1977
572	2644	1970
573	2650	1966
574	2655	1962
575	2658	1956
576	2661	1950
577	2663	1944
578	2667	1939
579	2671	1934
580	2675	1929
581	2679	1924
582	2683	1919
583	2687	1914
584	2690	1908
585	2693	1902
586	2715	1910
587	2719	1905
588	2726	1902
589	2730	1897
590	2737	1894
591	2740	1888
592	2744	1883
593	2750	1880
594	2756	1876
595	2760	1871
596	2767	1868
597	2772	1863
598	2775	1857
599	2777	1851
600	2782	1847
601	2785	1841
602	2788	1835
603	2844	1865
604	2853	1862
605	2857	1857
606	2875	1861
607	2882	1858
608	2902	1863
609	2906	1858
610	2912	1854
611	2916	1848
612	2922	1845
613	2928	1840
614	2933	1836
615	2936	1830
616	2940	1825
617	2947	1822
618	2951	1816
619	2954	1810
620	2961	1807
621	2964	1801
622	2968	1796
623	2970	1790
624	2975	1785
625	2979	1780
626	2983	1775
627	2987	1769
628	2991	1764
629	2995	1759
630	2999	1753
631	3001	1747
632	3004	1741
633	3009	1737
634	3013	1732
635	3015	1726
636	3018	1720
637	3022	1714
638	3027	1710
639	3031	1705
640	3036	1700
641	3041	1695
642	3046	1691
643	3050	1686
644	3053	1680
645	3059	1676
646	3064	1672
647	3068	1666
648	3074	1662
649	3080	1658
650	3086	1654
651	3094	1651
652	3099	1646
653	3102	1641
654	3106	1636
655	3111	1631
656	3116	1626
657	3121	1622
658	3125	1617
659	3128	1611
660	3131	1606
661	3135	1600
662	3138	1595
663	3141	1589
664	3143	1583
665	3146	1578
666	3158	1576
667	3160	1570
668	3163	1565
669	3166	1559
670	3170	1554
671	3173	1548
672	3175	1543
673	3178	1537
674	3181	1532
675	3185	1526
676	3189	1521
677	3195	1517
678	3204	1514
679	3210	1510
680	3215	1506
681	3219	1501
682	3223	1495
683	3228	1491
684	3233	1486
685	3237	1481
686	3240	1476
687	3243	1470
688	3246	1465
689	3250	1460
690	3255	1455
691	3260	1451
692	3266	1447
693	3269	1441
694	3273	1436
695	3277	1431
696	3281	1426
697	3285	1421
698	3288	1416
699	3292	1411
700	3301	1408
701	3305	1403
702	3309	1397
703	3315	1394
704	3318	1388
705	3322	1383
706	3326	1378
707	3331	1373
708	3335	1369
709	3339	1363
710	3345	1359
711	3348	1354
712	3354	1350
713	3356	1344
714	3367	1342
715	3371	1337
716	3375	1332
717	3378	1327
718	3382	1322
719	3385	1316
720	3388	1311
721	3396	1307
722	3400	1302
723	3404	1297
724	3408	1292
725	3412	1287
726	3415	1282
727	3418	1277
728	3421	1271
729	3425	1266
730	3427	1261
731	3430	1256
732	3433	1250
733	3435	1245
734	3438	1239
735	3445	1235
736	3448	1230
737	3453	1225
738	3461	1222
739	3464	1217
740	3466	1211
741	3469	1206
742	3473	1201
743	3476	1196
744	3479	1191
745	3482	1185
746	3485	1180
747	3491	1176
748	3495	1171
749	3499	1166
750	3504	1161
751	3507	1156
752	3510	1151
753	3513	1146
754	3515	1140
755	3518	1135
756	3521	1130
757	3524	1125
758	3527	1120
759	3530	1115
760	3534	1109
761	3541	1106
762	3546	1101
763	3550	1096
764	3555	1092
765	3558	1087
766	3561	1081
767	3564	1076
768	3572	1073
769	3577	1068
770	3580	1063
771	3587	1059
772	3592	1054
773	3595	1049
774	3597	1044
775	3601	1039
776	3604	1034
777	3607	1029
778	3610	1024
779	3613	1019
780	3618	1014
781	3621	1009
782	3624	1004
783	3627	999
784	3630	994
785	3634	989
786	3639	984
787	3642	980
788	3646	975
789	3651	970
790	3654	965
791	3657	960
792	3660	955
793	3663	950
794	3667	945
795	3671	940
796	3675	936
797	3681	931
798	3685	927
799	3696	924
800	3701	919
801	3703	914
802	3706	909
803	3709	904
804	3713	899
805	3716	894
806	3719	889
807	3723	884
808	3726	879
809	3731	875
810	3734	870
811	3738	865
812	3741	860
813	3744	855
814	3747	850
815	3749	845
816	3751	840
817	3753	835
818	3755	830
819	3757	824
820	3761	820
821	3764	815
822	3766	810
823	3769	805
824	3771	800
825	3773	794
826	3777	790
827	3780	785
828	3784	780
829	3787	775
830	3789	770
831	3794	766
832	3831	768
833	3835	763
834	3838	758
835	3847	754
836	3850	749
837	3852	744
838	3854	739
839	3858	734
840	3860	729
841	3864	725
842	3866	720
843	3868	715
844	3870	710
845	3874	705
846	3877	700
847	3892	697
848	3898	693
849	3902	688
850	3905	683
851	3914	679
852	3918	675
853	3924	670
854	3928	666
855	3951	664
856	3956	660
857	3958	655
858	3995	655
859	3997	650
860	4000	645
861	4002	640
862	4009	636
863	4013	631
864	4015	626
865	4017	621
866	4022	617
867	4025	612
868	4028	607
869	4032	602
870	4035	597
871	4042	593
872	4053	589
873	4069	586
874	4072	581
875	4099	580
876	4102	575
877	4103	570
878	4105	565
879	4108	560
880	4109	555
881	4111	550
882	4113	545
883	4115	540
884	4118	535
885	4129	531
886	4131	526
887	4134	521
888	4144	517
889	4146	512
890	4148	507
891	4176	505
892	4178	500
893	4180	495
894	4183	490
895	4192	486
896	4194	481
897	4196	476
898	4198	471
899	4201	466
900	4203	461
901	4206	457
902	4208	452
903	4210	447
904	4212	442
905	4215	437
906	4217	432
907	4220	427
908	4236	424
909	4238	419
910	4240	414
911	4242	409
912	4244	404
913	4246	399
914	4249	394
915	4251	389
916	4252	384
917	4254	380
918	4256	375
919	4258	370
920	4260	365
921	4262	360
922	4265	355
923	4269	351
924	4272	346
925	4275	341
926	4277	336
927	4279	332
928	4282	327
929	4285	322
930	4288	317
931	4292	313
932	4295	308
933	4298	303
934	4302	299
935	4305	294
936	4308	289
937	4313	285
938	4315	280
939	4318	275
940	4321	270
941	4324	266
942	4357	263
943	4359	258
944	4364	254
945	4367	249
946	4370	244
947	4374	239
948	4379	235
949	4382	230
950	4385	225
951	4388	221
952	4390	216
953	4395	211
954	4398	207
955	4401	202
956	4404	197
957	4406	193
958	4410	188
959	4413	183
960	4417	179
961	4421	174
962	4424	170
963	4428	165
964	4431	160
965	4434	156
966	4437	151
967	4448	147
968	4450	142
969	4453	137
970	4455	133
971	4459	128
972	4462	123
973	4465	119
974	4467	114
975	4469	109
976	4471	105
977	4474	100
978	4476	96
979	4478	91
980	4480	86
981	4482	82
982	4484	77
983	4486	72
984	4488	68
985	4490	63
986	4492	59
987	4494	54
988	4496	50
989	4498	45
990	4500	40
991	4502	36
992	4504	31
993	4507	27
994	4509	22
995	4523	18
996	4525	13
997	4526	9
998	4528	4
999	4530	0
0363	168
984	10368	157
985	10372	147
986	10376	136
987	10388	126
988	10392	115
989	10425	105
990	10443	94
991	10447	84
992	10450	73
993	10454	63
994	10459	52
995	10462	42
996	10466	31
997	10469	20
998	10472	10
999	10475	0
87	51
995	10291	41
996	10294	30
997	10297	20
998	10301	10
999	10305	0

987	10126	122
988	10129	112
989	10133	102
990	10137	92
991	10140	81
992	10144	71
993	10147	61
994	10150	51
995	10154	40
996	10158	30
997	10161	20
998	10165	10
999	10168	0

996	10211	30
997	10259	20
998	10269	10
999	10276	0
50
995	10050	40
996	10053	30
997	10058	20
998	10064	10
999	10068	0
